allocation_set_id,pillar_id,target_percentage,id,created_date,updated_date,created_by_id,created_by,is_sample
"695187f8893a16c66db7a410","pillar-1766979371475","0","6959db006ad33af3601f0656","2026-01-04T03:14:08.788000","2026-01-18T21:26:46.515000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f924ff665a629a1c72","pillar-1766979371475","0","6959db00b9c22436524fa1fe","2026-01-04T03:14:08.652000","2026-01-18T21:26:45.262000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187ff0d5abe0725ad0a60","pillar-1766979371475","0","6959db006d37feb8c2a01e37","2026-01-04T03:14:08.495000","2026-01-18T21:26:43.989000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187ff0d5abe0725ad0a60","pillar-1766950292171","5","6951880745b403c9f445f8f8","2025-12-28T19:41:59.587000","2026-01-18T21:26:44.199000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187ff0d5abe0725ad0a60","pillar-1766860199826","10","695188072a4ab12c3c1efbb9","2025-12-28T19:41:59.404000","2026-01-18T21:26:44.343000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187ff0d5abe0725ad0a60","pillar-1766860049436","15","695188048a88c155dbe87717","2025-12-28T19:41:56.811000","2026-01-18T21:26:44.523000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187ff0d5abe0725ad0a60","pillar-1766859968646","35","69518800e74f1397aadcada1","2025-12-28T19:41:52.665000","2026-01-18T21:26:44.674000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187ff0d5abe0725ad0a60","pillar-1766859732188","10","6951880035021e39b8d29dae","2025-12-28T19:41:52.496000","2026-01-18T21:26:44.814000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187ff0d5abe0725ad0a60","pillar-1766859492284","25","69518800148d4b41b9c2376d","2025-12-28T19:41:52.280000","2026-01-18T21:26:45.031000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f924ff665a629a1c72","pillar-1766950292171","40","695187ff03960f32f1dba238","2025-12-28T19:41:51.418000","2026-01-18T21:26:45.433000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f924ff665a629a1c72","pillar-1766860199826","15","695187fff037dbc0489820e0","2025-12-28T19:41:51.035000","2026-01-18T21:26:45.600000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f924ff665a629a1c72","pillar-1766860049436","5","695187fe663d4f9174299619","2025-12-28T19:41:50.651000","2026-01-18T21:26:45.754000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f924ff665a629a1c72","pillar-1766859968646","10","695187fc7a91631021359b7d","2025-12-28T19:41:48.085000","2026-01-18T21:26:46.024000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f924ff665a629a1c72","pillar-1766859732188","10","695187fa55a1d90393da7574","2025-12-28T19:41:46.129000","2026-01-18T21:26:46.164000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f924ff665a629a1c72","pillar-1766859492284","20","695187f94463c102a5796a6a","2025-12-28T19:41:45.402000","2026-01-18T21:26:46.381000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f8893a16c66db7a410","pillar-1766950292171","15","695187f903960f32f1dba236","2025-12-28T19:41:45.104000","2026-01-18T21:26:46.674000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f8893a16c66db7a410","pillar-1766860199826","15","695187f8d85621f7c0837de1","2025-12-28T19:41:44.969000","2026-01-18T21:26:46.824000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f8893a16c66db7a410","pillar-1766860049436","15","695187f8cc9f81fd9daec9f1","2025-12-28T19:41:44.788000","2026-01-18T21:26:46.971000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f8893a16c66db7a410","pillar-1766859968646","20","695187f8a9536dcc0f3547d0","2025-12-28T19:41:44.602000","2026-01-18T21:26:47.119000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f8893a16c66db7a410","pillar-1766859732188","15","695187f8abb88815c54af56a","2025-12-28T19:41:44.413000","2026-01-18T21:26:47.427000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
"695187f8893a16c66db7a410","pillar-1766859492284","20","695187f865ff52fe5d741bf0","2025-12-28T19:41:44.276000","2026-01-18T21:26:47.563000","service_29291766-c62b-497b-b5fc-bdb1c03c7cb6","service+29291766-c62b-497b-b5fc-bdb1c03c7cb6@no-reply.base44.com","false"
